It took 1.1185 seconds to compute the Mandelbrot set
It took 0.2712 seconds to dump the image to a file
         1255714 function calls (1235126 primitive calls) in 1.924 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 core.py:1515(__mul__)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
     1694    0.000    0.000    0.000    0.000 unicode.py:63(<genexpr>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:1(<module>)
       23    0.000    0.000    0.000    0.000 ast.py:30(parse)
       36    0.000    0.000    0.000    0.000 _local.py:346(name)
      137    0.000    0.000    0.000    0.000 artist.py:738(set_figure)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:1(<module>)
        4    0.000    0.000    0.000    0.000 spines.py:35(__init__)
        6    0.000    0.000    0.000    0.000 getlimits.py:36(__init__)
      611    0.000    0.000    0.000    0.000 __init__.py:1826(_is_disabled)
        6    0.000    0.000    0.000    0.000 patches.py:48(__init__)
      492    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       12    0.000    0.000    0.000    0.000 util.py:380(_inner)
       92    0.000    0.000    0.000    0.000 transforms.py:1341(__add__)
        1    0.000    0.000    0.000    0.000 __init__.py:2880(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:838(_mac_os_check)
      390    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        1    0.000    0.000    0.000    0.000 __init__.py:845(copy)
     2171    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
    16/15    0.000    0.000    0.000    0.000 transforms.py:1109(get_points)
   193/93    0.000    0.000    0.000    0.000 core.py:1953(__str__)
        1    0.000    0.000    0.000    0.000 widgets.py:1(<module>)
      644    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       78    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
     2611    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      310    0.000    0.000    0.000    0.000 function_base.py:473(_add_docstring)
       47    0.000    0.000    0.000    0.000 _local.py:289(drive)
      671    0.000    0.000    0.000    0.000 enum.py:764(__delattr__)
2049/2043    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      243    0.000    0.000    0.000    0.000 _parser.py:371(_escape)
        3    0.000    0.000    0.000    0.000 warnings.py:131(filterwarnings)
       11    0.000    0.000    0.000    0.000 typing.py:2054(__new__)
       84    0.000    0.000    0.000    0.000 fromnumeric.py:41(_wrapit)
      162    0.000    0.000    0.000    0.000 fromnumeric.py:69(_wrapreduction)
        6    0.000    0.000    0.000    0.000 core.py:2883(__new__)
     12/2    0.000    0.000    0.000    0.000 core.py:1575(makeOptionalList)
        1    0.000    0.000    0.000    0.000 _enums.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_check_impl.py:1(<module>)
        8    0.000    0.000    0.000    0.000 colors.py:2563(make_norm_from_scale)
        1    0.000    0.000    0.000    0.000 scimath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 image.py:919(set_extent)
       89    0.000    0.000    0.000    0.000 typing.py:1131(_typevar_subst)
       30    0.000    0.000    0.000    0.000 __init__.py:2141(getLogger)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       29    0.000    0.000    0.000    0.000 _abc.py:194(stem)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
     10/4    0.000    0.000    0.000    0.000 core.py:4359(streamline)
       12    0.000    0.000    0.000    0.000 transforms.py:1419(__sub__)
      731    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      122    0.000    0.000    0.000    0.000 artist.py:435(set_transform)
        1    0.000    0.000    0.000    0.000 helpers.py:153(one_of)
        1    0.000    0.000    0.000    0.000 simpledialog.py:1(<module>)
      100    0.000    0.000    0.000    0.000 axis.py:293(_set_artist_props)
      373    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       70    0.000    0.000    0.000    0.000 fromnumeric.py:211(reshape)
      644    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
     1596    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 markers.py:1(<module>)
      204    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
       49    0.000    0.000    0.000    0.000 core.py:137(get_object_signature)
      690    0.000    0.000    0.000    0.000 _mathtext_data.py:1724(<genexpr>)
       57    0.000    0.000    0.000    0.000 text.py:995(set_color)
      746    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
       92    0.000    0.000    0.000    0.000 transforms.py:2499(composite_transform_factory)
      401    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       29    0.000    0.000    0.000    0.000 core.py:5756(__init__)
       75    0.000    0.000    0.000    0.000 enum.py:946(_get_mixins_)
        3    0.000    0.000    0.000    0.000 colors.py:2214(process_value)
       13    0.000    0.000    0.000    0.000 typing.py:1719(__getitem__)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1814(Parser)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1946(get_width_height)
      243    0.000    0.000    0.000    0.000 inspect.py:2841(__str__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1579(_IPv4Constants)
       10    0.000    0.000    0.000    0.000 axis.py:395(_apply_tickdir)
       43    0.000    0.000    0.000    0.000 backend_bases.py:604(new_gc)
       93    0.000    0.000    0.000    0.000 core.py:2402(__init__)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 overrides.py:1(<module>)
       25    0.000    0.000    0.000    0.000 dtypes.py:30(_add_dtype_helper)
      180    0.000    0.000    0.000    0.000 lines.py:1217(_set_markercolor)
       26    0.000    0.000    0.000    0.000 core.py:7065(__init__)
        1    0.000    0.000    0.000    0.000 artist.py:1407(ArtistInspector)
        1    0.000    0.000    0.000    0.000 _polynomial_impl.py:458(polyfit)
       67    0.000    0.000    0.000    0.000 transforms.py:1996(rotate_deg)
        1    0.000    0.000    0.000    0.000 axis.py:2598(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:522(_get_config_or_cache_dir)
        4    0.000    0.000    0.000    0.000 core.py:6860(array)
        1    0.000    0.000    0.000    0.000 transforms.py:325(max)
      119    0.000    0.000    0.000    0.000 {method 'min' of 'numpy.ndarray' objects}
      811    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
     2504    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 font_manager.py:1554(_get_font)
     2504    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.000    0.000 _base.py:3480(tick_params)
       60    0.000    0.000    0.000    0.000 lines.py:1073(set_color)
       26    0.000    0.000    0.000    0.000 core.py:7071(getdoc)
      455    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
      758    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
        2    0.000    0.000    0.000    0.000 _local.py:581(glob)
       16    0.000    0.000    0.000    0.000 core.py:1598(__or__)
      149    0.000    0.000    0.000    0.000 {method 'max' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.000    0.000 axis.py:456(_apply_tickdir)
        1    0.000    0.000    0.000    0.000 _colorize.py:1(<module>)
       30    0.000    0.000    0.000    0.000 __init__.py:1362(getLogger)
    84/80    0.000    0.000    0.000    0.000 spines.py:346(get_spine_transform)
      315    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
       43    0.000    0.000    0.000    0.000 backend_bases.py:680(__init__)
      813    0.000    0.000    0.000    0.000 __init__.py:1003(<lambda>)
       60    0.000    0.000    0.000    0.000 lines.py:1158(set_linestyle)
       50    0.000    0.000    0.000    0.000 typing.py:395(_flatten_literal_params)
       13    0.000    0.000    0.000    0.000 typing.py:1733(__getitem_inner__)
       14    0.000    0.000    0.000    0.000 transforms.py:461(transformed)
        1    0.000    0.000    0.000    0.000 __init__.py:2988(create_image)
     1370    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:2968(_create)
      968    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 markers.py:150(MarkerStyle)
       42    0.000    0.000    0.000    0.000 core.py:2456(__init__)
        1    0.000    0.000    0.000    0.000 _nanfunctions_impl.py:1(<module>)
     1303    0.000    0.000    0.000    0.000 __init__.py:681(_set)
      105    0.000    0.000    0.000    0.000 figure.py:65(_stale_figure_callback)
       63    0.000    0.000    0.000    0.000 font_manager.py:798(set_style)
       12    0.000    0.000    0.000    0.000 axis.py:1594(_get_tick_label_size)
        2    0.000    0.000    0.000    0.000 __init__.py:3345(__init__)
       16    0.000    0.000    0.000    0.000 Image.py:1567(getim)
        1    0.000    0.000    0.000    0.000 _constrained_layout.py:1(<module>)
      135    0.000    0.000    0.000    0.000 <frozen posixpath>:72(join)
       35    0.000    0.000    0.000    0.000 core.py:3058(__init__)
  498/400    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
      184    0.000    0.000    0.000    0.000 cm.py:94(__getitem__)
        6    0.000    0.000    0.000    0.000 ticker.py:819(_set_format)
      132    0.000    0.000    0.000    0.000 inspect.py:1818(getattr_static)
      531    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      113    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     1193    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _base.py:1936(apply_aspect)
      745    0.000    0.000    0.000    0.000 enum.py:199(__get__)
      838    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      117    0.000    0.000    0.000    0.000 cbook.py:871(get_siblings)
       22    0.000    0.000    0.000    0.000 core.py:4170(_generateDefaultName)
      416    0.000    0.000    0.000    0.000 copy.py:232(_keep_alive)
      119    0.000    0.000    0.000    0.000 _methods.py:45(_amin)
       83    0.000    0.000    0.000    0.000 _local.py:498(__init__)
        1    0.000    0.000    0.000    0.000 relativedelta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scale.py:748(_get_scale_docs)
       67    0.000    0.000    0.000    0.000 transforms.py:1973(rotate)
      111    0.000    0.000    0.000    0.000 font_manager.py:876(set_size)
   113/96    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
       16    0.000    0.000    0.000    0.000 core.py:4351(__init__)
       15    0.000    0.000    0.000    0.000 __init__.py:241(split)
        4    0.000    0.000    0.000    0.000 <frozen posixpath>:391(realpath)
      731    0.000    0.000    0.000    0.000 cbook.py:1860(_str_equal)
      859    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      344    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
        3    0.000    0.000    0.000    0.000 deprecation.py:255(rename_parameter)
       68    0.000    0.000    0.000    0.000 __init__.py:133(check_shape)
       14    0.000    0.000    0.000    0.000 core.py:5973(__init__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1641(_make_netmask)
      684    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
      148    0.000    0.000    0.000    0.000 markers.py:275(_set_fillstyle)
      390    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
        4    0.000    0.000    0.000    0.000 _version.py:54(__init__)
        1    0.000    0.000    0.000    0.000 figure.py:2424(Figure)
       10    0.000    0.000    0.000    0.000 typing.py:1207(_generic_class_getitem)
       75    0.000    0.000    0.000    0.000 enum.py:987(_find_data_type_)
       35    0.000    0.000    0.000    0.000 transforms.py:300(xmin)
       82    0.000    0.000    0.000    0.000 fromnumeric.py:3052(max)
      149    0.000    0.000    0.000    0.000 _methods.py:41(_amax)
        6    0.000    0.000    0.000    0.000 numeric.py:2373(isclose)
       51    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
       19    0.000    0.000    0.000    0.000 cbook.py:597(_get_data_path)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
  224/209    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      649    0.000    0.000    0.000    0.000 inspect.py:302(isclass)
      188    0.000    0.000    0.000    0.000 colors.py:998(copy)
      200    0.000    0.000    0.000    0.000 transforms.py:156(invalidate)
       35    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
      215    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
        2    0.000    0.000    0.000    0.000 axis.py:2602(_init)
       88    0.000    0.000    0.000    0.000 transforms.py:2041(scale)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:599(matplotlib_fname)
       36    0.000    0.000    0.000    0.000 PngImagePlugin.py:198(call)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _abc.py:662(_glob_selector)
       34    0.000    0.000    0.000    0.000 __init__.py:1506(bind)
      643    0.000    0.000    0.000    0.000 functools.py:66(wraps)
        2    0.000    0.000    0.000    0.000 __init__.py:3190(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
      154    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
       21    0.000    0.000    0.000    0.000 cbook.py:293(connect)
       11    0.000    0.000    0.000    0.000 version.py:47(parse)
       24    0.000    0.000    0.000    0.000 __init__.py:214(__getattr__)
       39    0.000    0.000    0.000    0.000 getlimits.py:113(_float_to_str)
        2    0.000    0.000    0.000    0.000 axis.py:2378(_init)
        1    0.000    0.000    0.000    0.000 __init__.py:2509(readprofile)
     2382    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1939(__init__)
       80    0.000    0.000    0.000    0.000 fromnumeric.py:3190(min)
       13    0.000    0.000    0.000    0.000 textwrap.py:470(indent)
      756    0.000    0.000    0.000    0.000 <frozen posixpath>:42(_get_sep)
      149    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       55    0.000    0.000    0.000    0.000 _abc.py:130(with_segments)
      193    0.000    0.000    0.000    0.000 cbook.py:1347(_to_unmasked_float_array)
        3    0.000    0.000    0.000    0.000 _local.py:664(resolve)
        2    0.000    0.000    0.000    0.000 glob.py:370(selector)
        1    0.000    0.000    0.000    0.000 mlab.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
      139    0.000    0.000    0.000    0.000 core.py:2013(__eq__)
        9    0.000    0.000    0.000    0.000 {method 'decode' of 'ImagingDecoder' objects}
       86    0.000    0.000    0.000    0.000 transforms.py:2342(__init__)
     1334    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        7    0.000    0.000    0.000    0.000 typing.py:1748(__getitem__)
       11    0.000    0.000    0.000    0.000 version.py:188(__init__)
      190    0.000    0.000    0.000    0.000 transforms.py:180(set_children)
        1    0.000    0.000    0.000    0.000 _base.py:839(set_subplotspec)
        1    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       34    0.000    0.000    0.000    0.000 __init__.py:1488(_bind)
      509    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       27    0.000    0.000    0.000    0.000 artist.py:44(allow_rasterization)
        2    0.000    0.000    0.000    0.000 glob.py:414(wildcard_selector)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.000    0.000 unicode.py:1(<module>)
       19    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
        2    0.000    0.000    0.000    0.000 glob.py:367(compile)
      548    0.000    0.000    0.000    0.000 rcsetup.py:191(validator)
        1    0.000    0.000    0.000    0.000 figure.py:156(_get_draw_artists)
        1    0.000    0.000    0.000    0.000 colors.py:1218(_init)
       78    0.000    0.000    0.000    0.000 core.py:4171(<genexpr>)
      837    0.000    0.000    0.000    0.000 transforms.py:109(__init__)
      310    0.000    0.000    0.000    0.000 function_base.py:455(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 glob.py:322(_compile_pattern)
        5    0.000    0.000    0.000    0.000 typing.py:806(Optional)
       29    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
    92/50    0.000    0.000    0.000    0.000 _base.py:964(get_xaxis_transform)
       25    0.000    0.000    0.000    0.000 getlimits.py:494(__new__)
       23    0.000    0.000    0.000    0.000 overrides.py:179(decorator)
        5    0.000    0.000    0.000    0.000 _base.py:2624(_process_unit_info)
        3    0.000    0.000    0.000    0.000 __init__.py:620(gen_candidates)
       72    0.000    0.000    0.000    0.000 text.py:1292(_preprocess_math)
      373    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 TiffTags.py:439(_populate)
       38    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:481(broadcast_arrays)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2769(NavigationToolbar2)
       51    0.000    0.000    0.000    0.000 text.py:1040(set_linespacing)
      150    0.000    0.000    0.000    0.000 cbook.py:259(__init__)
    379/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
        1    0.000    0.000    0.000    0.000 _scimath_impl.py:1(<module>)
      132    0.000    0.000    0.000    0.000 inspect.py:1779(_check_class)
       60    0.000    0.000    0.000    0.000 lines.py:752(set_transform)
      317    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       38    0.000    0.000    0.000    0.000 rcsetup.py:759(<genexpr>)
       40    0.000    0.000    0.000    0.000 __init__.py:1638(_options)
       54    0.000    0.000    0.000    0.000 ticker.py:610(__call__)
      188    0.000    0.000    0.000    0.000 colors.py:815(__copy__)
       11    0.000    0.000    0.000    0.000 typing.py:1658(copy_with)
       16    0.000    0.000    0.000    0.000 transforms.py:2838(nonsingular)
       18    0.000    0.000    0.000    0.000 transforms.py:2780(get_transformed_points_and_affine)
        2    0.000    0.000    0.000    0.000 patches.py:748(__init__)
      520    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
       65    0.000    0.000    0.000    0.000 path.py:202(_update_values)
      129    0.000    0.000    0.000    0.000 artist.py:1055(set_visible)
       13    0.000    0.000    0.000    0.000 patches.py:934(get_bbox)
      149    0.000    0.000    0.000    0.000 _parser.py:894(_parse_flags)
        7    0.000    0.000    0.000    0.000 Image.py:726(__array_interface__)
       10    0.000    0.000    0.000    0.000 axis.py:389(_get_text1_transform)
      748    0.000    0.000    0.000    0.000 ast.py:272(iter_fields)
        1    0.000    0.000    0.000    0.000 __init__.py:240(<lambda>)
       10    0.000    0.000    0.000    0.000 path.py:191(_create_closed)
       83    0.000    0.000    0.000    0.000 _local.py:117(__init__)
        3    0.000    0.000    0.000    0.000 _common.py:132(_validate_fromutc_inputs)
     2236    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       12    0.000    0.000    0.000    0.000 fromnumeric.py:2241(clip)
    92/50    0.000    0.000    0.000    0.000 _base.py:1046(get_yaxis_transform)
        1    0.000    0.000    0.000    0.000 offsetbox.py:202(OffsetBox)
       30    0.000    0.000    0.000    0.000 _inspect.py:141(formatargspec)
       41    0.000    0.000    0.000    0.000 _local.py:252(_from_parsed_string)
        1    0.000    0.000    0.000    0.000 __init__.py:212(_get_version)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       43    0.000    0.000    0.000    0.000 artist.py:935(_set_gc_clip)
        1    0.000    0.000    0.000    0.000 actions.py:1(<module>)
     1095    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
       50    0.000    0.000    0.000    0.000 core.py:944(__init__)
      509    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       23    0.000    0.000    0.000    0.000 contextlib.py:276(contextmanager)
        1    0.000    0.000    0.000    0.000 __init__.py:563(get_configdir)
        3    0.000    0.000    0.000    0.000 _fontconfig_pattern.py:57(comma_separated)
      180    0.000    0.000    0.000    0.000 font_manager.py:1349(<genexpr>)
  306/282    0.000    0.000    0.000    0.000 results.py:176(__init__)
       60    0.000    0.000    0.000    0.000 lines.py:1241(set_markerfacecolor)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
      236    0.000    0.000    0.000    0.000 _shape_base_impl.py:624(_column_stack_dispatcher)
       19    0.000    0.000    0.000    0.000 cycler.py:415(cycler)
      430    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
       48    0.000    0.000    0.000    0.000 text.py:1108(set_fontsize)
        1    0.000    0.000    0.000    0.000 tz.py:132(tzoffset)
       36    0.000    0.000    0.000    0.000 transforms.py:617(translated)
       16    0.000    0.000    0.000    0.000 __init__.py:1315(winfo_rgb)
       13    0.000    0.000    0.000    0.000 typing.py:1715(copy_with)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:253(iTXt)
      490    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       24    0.000    0.000    0.000    0.000 cycler.py:364(by_key)
        7    0.000    0.000    0.000    0.000 core.py:1482(__radd__)
       10    0.000    0.000    0.000    0.000 axis.py:450(_get_text1_transform)
       25    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:72(add_newdoc_for_scalar_type)
       34    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
       23    0.000    0.000    0.000    0.000 colors.py:1234(reversed)
        1    0.000    0.000    0.000    0.000 registry.py:1(<module>)
       11    0.000    0.000    0.000    0.000 core.py:1734(__call__)
      106    0.000    0.000    0.000    0.000 pyplot.py:1074(_auto_draw_if_interactive)
      194    0.000    0.000    0.000    0.000 _compiler.py:470(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 dviread.py:202(Dvi)
       26    0.000    0.000    0.000    0.000 transforms.py:1778(__eq__)
       46    0.000    0.000    0.000    0.000 colors.py:1194(__init__)
       48    0.000    0.000    0.000    0.000 _local.py:166(__fspath__)
        1    0.000    0.000    0.000    0.000 array_utils.py:1(<module>)
       92    0.000    0.000    0.000    0.000 _parser.py:311(_class_escape)
        1    0.000    0.000    0.000    0.000 gridspec.py:648(get_position)
       46    0.000    0.000    0.000    0.000 _methods.py:66(_all)
       23    0.000    0.000    0.000    0.000 core.py:5301(__init__)
       43    0.000    0.000    0.000    0.000 __init__.py:1683(_register)
       44    0.000    0.000    0.000    0.000 functools.py:504(lru_cache)
       18    0.000    0.000    0.000    0.000 transforms.py:2767(_revalidate)
        1    0.000    0.000    0.000    0.000 patches.py:4135(FancyArrowPatch)
        8    0.000    0.000    0.000    0.000 core.py:586(_setResultsName)
        1    0.000    0.000    0.000    0.000 isoparser.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _base.py:992(get_xaxis_text1_transform)
        6    0.000    0.000    0.000    0.000 axis.py:1738(update_units)
      192    0.000    0.000    0.000    0.000 copy.py:253(<genexpr>)
       12    0.000    0.000    0.000    0.000 dataclasses.py:768(_get_field)
       71    0.000    0.000    0.000    0.000 _local.py:277(_raw_path)
       10    0.000    0.000    0.000    0.000 axis.py:392(_get_text2_transform)
        1    0.000    0.000    0.000    0.000 transforms.py:653(intersection)
      625    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       10    0.000    0.000    0.000    0.000 axis.py:453(_get_text2_transform)
        1    0.000    0.000    0.000    0.000 axis.py:2464(_update_offset_text_position)
       53    0.000    0.000    0.000    0.000 text.py:1227(set_rotation)
       21    0.000    0.000    0.000    0.000 artist.py:23(_prevent_rasterization)
     12/6    0.000    0.000    0.000    0.000 units.py:164(get_converter)
       43    0.000    0.000    0.000    0.000 backend_bases.py:848(set_clip_path)
      727    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      131    0.000    0.000    0.000    0.000 font_manager.py:784(set_family)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedRandom' objects}
      132    0.000    0.000    0.000    0.000 cbook.py:1334(is_math_text)
      356    0.000    0.000    0.000    0.000 inspect.py:306(ismethod)
       20    0.000    0.000    0.000    0.000 fromnumeric.py:89(_wrapreduction_any_all)
     1004    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      482    0.000    0.000    0.000    0.000 enum.py:69(_is_internal_class)
     1808    0.000    0.000    0.000    0.000 copy.py:173(_deepcopy_atomic)
      322    0.000    0.000    0.000    0.000 rcsetup.py:893(_convert_validator_spec)
        6    0.000    0.000    0.000    0.000 ticker.py:746(_compute_offset)
       45    0.000    0.000    0.000    0.000 PngImagePlugin.py:164(read)
        2    0.000    0.000    0.000    0.000 backend_bases.py:2910(_wait_cursor_for_draw_cm)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
       19    0.000    0.000    0.000    0.000 cycler.py:474(_cycler)
       27    0.000    0.000    0.000    0.000 transforms.py:786(unit)
       10    0.000    0.000    0.000    0.000 _base.py:1074(get_yaxis_text1_transform)
      652    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       90    0.000    0.000    0.000    0.000 Image.py:884(load)
       13    0.000    0.000    0.000    0.000 core.py:8761(__init__)
       11    0.000    0.000    0.000    0.000 typing.py:2199(__init_subclass__)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
       34    0.000    0.000    0.000    0.000 enum.py:1014(_find_new_)
        1    0.000    0.000    0.000    0.000 legend_handler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:3167(ArrowStyle)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
  225/200    0.000    0.000    0.000    0.000 transforms.py:165(_invalidate_internal)
        1    0.000    0.000    0.000    0.000 __init__.py:582(get_cachedir)
      137    0.000    0.000    0.000    0.000 lines.py:89(_scale_dashes)
       14    0.000    0.000    0.000    0.000 {method 'resize' of 'ImagingCore' objects}
     1054    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
      988    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
        3    0.000    0.000    0.000    0.000 getlimits.py:550(_init)
      107    0.000    0.000    0.000    0.000 <frozen codecs>:322(decode)
        3    0.000    0.000    0.000    0.000 _abc.py:754(home)
        1    0.000    0.000    0.000    0.000 axis3d.py:38(Axis)
        2    0.000    0.000    0.000    0.000 _backend_tk.py:484(set_cursor)
        5    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
     1736    0.000    0.000    0.000    0.000 typing.py:840(<genexpr>)
      644    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        2    0.000    0.000    0.000    0.000 colors.py:2331(autoscale_None)
       10    0.000    0.000    0.000    0.000 _base.py:1019(get_xaxis_text2_transform)
       10    0.000    0.000    0.000    0.000 _base.py:1101(get_yaxis_text2_transform)
       33    0.000    0.000    0.000    0.000 __init__.py:678(__init__)
        1    0.000    0.000    0.000    0.000 ExifTags.py:361(LightSource)
     1890    0.000    0.000    0.000    0.000 __init__.py:887(<lambda>)
      487    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       99    0.000    0.000    0.000    0.000 text.py:1259(set_verticalalignment)
        1    0.000    0.000    0.000    0.000 colorizer.py:334(_scale_norm)
        7    0.000    0.000    0.000    0.000 Image.py:3250(fromarray)
        7    0.000    0.000    0.000    0.000 Image.py:764(tobytes)
        1    0.000    0.000    0.000    0.000 _base.py:873(set_figure)
      452    0.000    0.000    0.000    0.000 artist.py:723(get_figure)
