It took 1.1185 seconds to compute the Mandelbrot set
It took 0.2712 seconds to dump the image to a file
         1255714 function calls (1235126 primitive calls) in 1.924 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      729    0.000    0.000    0.017    0.000 inspect.py:3094(from_callable)
  864/729    0.002    0.000    0.017    0.000 inspect.py:2487(_signature_from_callable)
      165    0.016    0.000    0.016    0.000 {method 'call' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.015    0.015 ImagePalette.py:1(<module>)
        1    0.000    0.000    0.015    0.015 _axes.py:67(Axes)
        1    0.000    0.000    0.015    0.015 art3d.py:1(<module>)
      981    0.001    0.000    0.015    0.000 __init__.py:751(__setitem__)
        6    0.000    0.000    0.015    0.002 axis.py:1644(get_major_ticks)
      315    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
        1    0.000    0.000    0.014    0.014 pyplot.py:526(_warn_if_gui_out_of_main_thread)
        3    0.000    0.000    0.014    0.005 pyplot.py:359(_get_backend_mod)
        1    0.000    0.000    0.014    0.014 pyplot.py:373(switch_backend)
  321/208    0.000    0.000    0.014    0.000 typing.py:426(inner)
        1    0.000    0.000    0.014    0.014 registry.py:302(load_backend_module)
      625    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      215    0.000    0.000    0.014    0.000 _parser.py:970(parse)
        1    0.000    0.000    0.014    0.014 backend_tkagg.py:1(<module>)
        1    0.000    0.000    0.014    0.014 pyplot.py:3579(imshow)
  446/215    0.001    0.000    0.013    0.000 _parser.py:451(_parse_sub)
    10250    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
      457    0.013    0.000    0.013    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.013    0.013 textpath.py:1(<module>)
  505/241    0.005    0.000    0.013    0.000 _parser.py:511(_parse)
       20    0.000    0.000    0.013    0.001 axis.py:1585(_get_tick)
        2    0.000    0.000    0.012    0.006 pyplot.py:2783(gca)
        2    0.000    0.000    0.012    0.006 figure.py:1708(gca)
        1    0.000    0.000    0.012    0.012 figure.py:644(add_subplot)
        1    0.000    0.000    0.012    0.012 _base.py:615(__init__)
        1    0.000    0.000    0.012    0.012 cm.py:1(<module>)
        2    0.000    0.000    0.012    0.006 image.py:163(_resample)
      696    0.004    0.000    0.012    0.000 inspect.py:2383(_signature_from_function)
        2    0.000    0.000    0.012    0.006 core.py:198(read_style_directory)
        1    0.000    0.000    0.011    0.011 geo.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _backend_tk.py:1(<module>)
        2    0.011    0.006    0.011    0.006 {built-in method matplotlib._image.resample}
174086/172959    0.011    0.000    0.011    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.011    0.011 axis.py:1(<module>)
    82809    0.008    0.000    0.011    0.000 {built-in method builtins.isinstance}
      315    0.011    0.000    0.011    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.011    0.011 _base.py:1445(clear)
        1    0.000    0.000    0.011    0.011 _base.py:1313(__clear)
    79489    0.010    0.000    0.011    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.010    0.010 offsetbox.py:1(<module>)
     6879    0.005    0.000    0.010    0.000 inspect.py:2754(__init__)
        1    0.000    0.000    0.010    0.010 multiarray.py:1(<module>)
       20    0.000    0.000    0.010    0.000 axis.py:59(__init__)
      200    0.000    0.000    0.009    0.000 pyplot.py:176(_copy_docstring_and_deprecators)
       58    0.000    0.000    0.009    0.000 __init__.py:287(compile)
       16    0.000    0.000    0.009    0.001 ImageTk.py:93(__init__)
    99853    0.009    0.000    0.009    0.000 {method 'startswith' of 'str' objects}
    89210    0.009    0.000    0.009    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.009    0.009 font_manager.py:1(<module>)
      456    0.000    0.000    0.009    0.000 artist.py:1530(number_of_parameters)
        1    0.000    0.000    0.009    0.009 _backend_tk.py:507(__init__)
        1    0.000    0.000    0.008    0.008 lines.py:1(<module>)
        1    0.000    0.000    0.008    0.008 polar.py:1(<module>)
      215    0.000    0.000    0.008    0.000 _compiler.py:576(_code)
        1    0.000    0.000    0.008    0.008 backend_bases.py:2611(__init__)
       94    0.001    0.000    0.008    0.000 __init__.py:1450(_preprocess_data)
        1    0.000    0.000    0.007    0.007 scale.py:1(<module>)
      984    0.000    0.000    0.007    0.000 artist.py:1536(is_alias)
        1    0.000    0.000    0.007    0.007 _backend_tk.py:650(__init__)
      100    0.000    0.000    0.007    0.000 pyplot.py:209(_add_pyplot_note)
        1    0.000    0.000    0.007    0.007 image.py:1(<module>)
        2    0.000    0.000    0.007    0.003 colorizer.py:337(to_rgba)
        3    0.000    0.000    0.007    0.002 colorizer.py:120(to_rgba)
      230    0.001    0.000    0.007    0.000 typing.py:1423(__init__)
        2    0.000    0.000    0.007    0.003 __init__.py:2426(wm_withdraw)
       10    0.000    0.000    0.007    0.001 axis.py:367(__init__)
        9    0.000    0.000    0.007    0.001 Image.py:3459(open)
3806/3324    0.002    0.000    0.006    0.000 {built-in method __new__ of type object at 0x1009f4010}
        7    0.000    0.000    0.006    0.001 _backend_tk.py:855(_Button)
        2    0.000    0.000    0.006    0.003 axis.py:845(clear)
        1    0.000    0.000    0.006    0.006 _dtype_like.py:1(<module>)
       43    0.001    0.000    0.006    0.000 enum.py:498(__new__)
     1476    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     4409    0.003    0.000    0.006    0.000 artist.py:1549(aliased_name)
       30    0.000    0.000    0.006    0.000 font_manager.py:1293(findfont)
      644    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:304(acquire)
      426    0.000    0.000    0.006    0.000 rcsetup.py:332(validate_color)
16610/16603    0.005    0.000    0.006    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.006    0.003 axis.py:761(_set_scale)
        1    0.000    0.000    0.006    0.006 ticker.py:1(<module>)
        2    0.000    0.000    0.006    0.003 scale.py:120(set_default_locators_and_formatters)
      546    0.000    0.000    0.006    0.000 colors.py:224(is_color_like)
       10    0.000    0.000    0.006    0.001 axis.py:428(__init__)
     1492    0.006    0.000    0.006    0.000 {built-in method posix.stat}
        2    0.000    0.000    0.006    0.003 common.py:1(<module>)
 1075/215    0.003    0.000    0.006    0.000 _compiler.py:37(_compile)
        2    0.000    0.000    0.006    0.003 ticker.py:452(__init__)
        2    0.000    0.000    0.006    0.003 ticker.py:575(set_useMathText)
      723    0.000    0.000    0.006    0.000 colors.py:278(to_rgba)
      375    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.001    0.001    0.006    0.006 font_manager.py:1453(_findfont_cached)
        2    0.000    0.000    0.006    0.003 ImageTk.py:43(_get_image_from_kw)
        1    0.000    0.000    0.006    0.006 axis3d.py:1(<module>)
    96/91    0.000    0.000    0.006    0.000 typing.py:574(__getitem__)
        1    0.000    0.000    0.006    0.006 __init__.py:245(_check_versions)
       91    0.000    0.000    0.006    0.000 typing.py:753(Union)
        1    0.000    0.000    0.005    0.005 _machar.py:1(<module>)
       10    0.000    0.000    0.005    0.001 Image.py:338(preinit)
18177/18143    0.003    0.000    0.005    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.005    0.005 quiver.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ExifTags.py:1(<module>)
      967    0.004    0.000    0.005    0.000 inspect.py:3042(__init__)
        1    0.000    0.000    0.005    0.005 colorizer.py:1(<module>)
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
      188    0.000    0.000    0.005    0.000 colors.py:325(_to_rgba_no_colorcycle)
       16    0.000    0.000    0.005    0.000 axis.py:1606(_copy_tick_props)
      148    0.000    0.000    0.005    0.000 markers.py:220(__init__)
       12    0.000    0.000    0.005    0.000 core.py:1149(parse_string)
        1    0.000    0.000    0.005    0.005 transforms.py:1(<module>)
    63397    0.005    0.000    0.005    0.000 {built-in method builtins.min}
    85/30    0.000    0.000    0.005    0.000 typing.py:1452(__getitem__)
     9321    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
